w_seismic,w_fault,w_proximity,w_exposure,critical,high,moderate,low
0.082,0.527,0.231,0.16,13,12,69,160
0.07,0.07,0.025,0.834,191,17,22,24
0.162,0.217,0.004,0.617,157,45,26,26
0.736,0.098,0.083,0.083,6,41,202,5
0.18,0.369,0.28,0.171,0,25,144,85
0.499,0.079,0.182,0.24,5,80,162,7
0.197,0.497,0.072,0.234,20,19,171,44
0.434,0.023,0.452,0.09,0,8,178,68
0.008,0.369,0.418,0.205,0,24,90,140
0.165,0.047,0.524,0.264,0,7,204,43
0.04,0.21,0.011,0.739,189,14,20,31
0.12,0.436,0.15,0.294,17,24,169,44
0.132,0.034,0.584,0.25,0,7,195,52
0.329,0.264,0.107,0.299,12,77,138,27
0.123,0.291,0.062,0.524,31,167,21,35
0.163,0.105,0.585,0.146,0,5,90,159
0.114,0.271,0.053,0.562,37,164,20,33
0.013,0.709,0.242,0.036,17,8,16,213
0.001,0.4,0.29,0.309,13,20,170,51
0.696,0.036,0.209,0.058,6,13,228,7
0.579,0.284,0.117,0.019,0,29,166,59
0.121,0.127,0.423,0.329,0,31,180,43
0.52,0.152,0.03,0.298,9,173,65,7
0.324,0.187,0.334,0.154,0,20,196,38
0.515,0.388,0.018,0.079,10,25,189,30
0.015,0.475,0.177,0.333,17,24,167,46
0.517,0.062,0.115,0.306,7,183,59,5
0.303,0.093,0.399,0.205,0,8,215,31
0.361,0.224,0.136,0.279,0,75,157,22
0.336,0.043,0.461,0.16,0,7,213,34
0.373,0.513,0.087,0.026,11,14,61,168
0.058,0.124,0.379,0.439,0,169,46,39
0.005,0.472,0.357,0.166,0,24,44,186
0.034,0.109,0.755,0.103,0,0,21,233
0.123,0.204,0.076,0.598,67,135,22,30
0.711,0.063,0.149,0.078,6,23,218,7
0.167,0.019,0.467,0.347,0,27,193,34
0.017,0.107,0.785,0.09,0,0,12,242
0.029,0.126,0.793,0.052,0,0,7,247
0.27,0.348,0.066,0.316,17,71,135,31
0.142,0.31,0.311,0.238,0,28,175,51
0.038,0.724,0.155,0.083,20,5,26,203
0.02,0.429,0.543,0.008,0,11,15,228
0.326,0.117,0.47,0.087,0,6,109,139
0.257,0.107,0.604,0.032,0,3,32,219
0.08,0.023,0.495,0.402,0,70,146,38
0.077,0.278,0.437,0.208,0,17,149,88
0.222,0.081,0.029,0.668,191,13,29,21
0.555,0.241,0.1,0.103,0,35,205,14
0.178,0.313,0.3,0.208,0,27,173,54
0.287,0.025,0.049,0.639,191,14,31,18
0.436,0.004,0.05,0.509,124,79,40,11
0.002,0.081,0.37,0.547,2,189,24,39
0.374,0.09,0.441,0.096,0,6,162,86
0.084,0.292,0.223,0.402,16,98,99,41
0.434,0.34,0.04,0.186,12,36,187,19
0.066,0.06,0.769,0.106,0,1,11,242
0.404,0.181,0.288,0.127,0,20,204,30
0.283,0.223,0.072,0.422,23,176,32,23
0.208,0.016,0.654,0.123,0,6,64,184
0.32,0.349,0.279,0.052,0,21,63,170
0.002,0.399,0.085,0.514,29,164,23,38
0.546,0.316,0.057,0.08,0,32,201,21
0.58,0.116,0.057,0.248,6,141,104,3
0.563,0.244,0.173,0.021,0,22,165,67
0.148,0.715,0.023,0.113,21,11,52,170
0.358,0.231,0.204,0.207,0,39,190,25
0.108,0.085,0.403,0.404,0,124,93,37
0.343,0.416,0.122,0.119,10,16,156,72
0.294,0.193,0.222,0.291,0,63,162,29
0.692,0.129,0.148,0.031,3,17,218,16
0.374,0.016,0.271,0.339,5,165,68,16
0.26,0.687,0.024,0.029,20,6,34,194
0.567,0.146,0.045,0.242,5,133,112,4
0.529,0.088,0.351,0.032,0,10,164,80
0.02,0.291,0.299,0.39,13,45,151,45
0.211,0.607,0.118,0.064,17,8,41,188
0.619,0.123,0.226,0.032,1,10,205,38
0.004,0.521,0.286,0.189,13,12,67,162
0.448,0.162,0.145,0.245,2,69,171,12
0.23,0.363,0.312,0.095,0,21,58,175
0.5,0.216,0.131,0.153,0,39,202,13
0.202,0.106,0.164,0.528,29,169,32,24
0.064,0.545,0.208,0.184,14,13,95,132
0.496,0.312,0.165,0.026,0,27,126,101
0.326,0.309,0.092,0.274,14,54,158,28
0.202,0.38,0.4,0.018,0,16,28,210
0.115,0.24,0.171,0.474,20,175,22,37
0.457,0.076,0.031,0.437,35,165,43,11
0.006,0.192,0.615,0.187,0,0,72,182
0.168,0.353,0.21,0.27,12,30,168,44
0.318,0.055,0.364,0.264,2,28,199,25
0.526,0.173,0.256,0.044,0,10,179,65
0.058,0.673,0.043,0.225,24,13,131,86
0.477,0.006,0.432,0.085,1,10,198,45
0.029,0.271,0.225,0.476,19,174,22,39
0.381,0.467,0.095,0.056,11,14,101,128
0.169,0.2,0.566,0.065,0,0,43,211
0.092,0.297,0.083,0.529,29,168,21,36
0.368,0.106,0.262,0.265,2,55,178,19
