osm_id,osm_type,lat,lon,category,name,rrup_km,vs30,pga_g,mmi_label,damage_state
253301276,node,20.6510296,96.9640031,school,,93.61779913644769,682.0,0.06382761427794564,Moderate (V),none
446715441,node,20.6966877,96.6755331,place_of_worship,သာမိုင်းခမ်းရွှေချမ်းသာဘုရားကြီး,64.27893048362594,287.0,0.11249260153224641,Strong (VI),none
486472221,node,21.9328203,95.937994,place_of_worship,ကောင်းမှုတော် ဘုရား,2.0355402761041295,266.0,0.4809798024944841,Severe (VIII),slight
486485922,node,22.0042212,95.9303,place_of_worship,,1.2448839108522585,289.0,0.5024272674734238,Severe (VIII),slight
590922257,node,17.3040986,96.4588886,place_of_worship,Kyaik Pun Paya,0.8273885913970926,267.0,0.49884500711982827,Severe (VIII),slight
597164806,node,22.0693187,95.2158666,place_of_worship,Sambuddha Kat Kyaw Pagoda,72.2453293131027,268.0,0.10646128870733969,Strong (VI),none
665904120,node,25.0442953,98.4935581,place_of_worship,,202.68036604319767,443.0,0.0315160390334563,Light (IV-),none
665904929,node,24.9881293,98.4880972,place_of_worship,,204.85801824856657,346.0,0.03442151454210988,Light (IV-),none
666738539,node,24.7325873,97.9258258,place_of_worship,,166.10357650189752,285.0,0.04873427939549898,Moderate (V),none
667334431,node,24.6932545,97.949869,place_of_worship,,170.2203320177909,351.0,0.04358331060118402,Moderate (V),none
667347741,node,17.4816761,97.0981825,place_of_worship,ကျိုက်ထီးရိုးဘုရား - Kyaiktiyo Pagoda,67.12003393945291,689.0,0.08040152565550898,Moderate (V),none
667354350,node,24.7527747,97.5630569,police,,132.13719596163565,686.0,0.044821002210965084,Moderate (V),none
668544705,node,24.505962,97.9384803,place_of_worship,,176.88700817830787,576.0,0.03381637880824858,Light (IV-),none
668545451,node,24.5107747,97.9352188,place_of_worship,皇阁寺,176.42388485929234,494.0,0.036203799572986445,Light (IV-),none
668546620,node,24.5097497,97.934854,place_of_worship,Pagoda,176.4191868812408,494.0,0.03620504108087004,Light (IV-),none
668554221,node,24.5025256,97.934221,place_of_worship,,176.5751105533497,494.0,0.036163868071716405,Light (IV-),none
